Ticker,Quarter,EPS,BPS,PER,PBR,ROE,ROA,ROIC,Debt_ratio
NVDA,21.01/31,0.17,0.69,74.24,19.04,29.30,16.60,23.30,70.40
NVDA,20.10/25,0.15,0.62,87.67,21.87,28.10,16.50,27.00,75.30
NVDA,20.07/26,0.14,0.57,74.00,18.02,26.90,16.60,32.20,81.00
NVDA,20.04/26,0.13,0.53,53.40,13.53,28.30,18.70,43.10,77.50
NVDA,20.01/26,0.11,0.50,54.83,12.56,25.70,18.10,36.70,41.90
NVDA,19.10/27,0.10,0.46,51.67,11.11,23.80,16.70,24.00,41.00
NVDA,19.07/28,0.11,0.42,38.88,10.32,28.20,19.70,21.70,42.90
NVDA,19.04/28,0.13,0.40,32.79,11.12,35.30,24.40,24.70,44.50
NVDA,19.01/27,0.17,0.38,23.59,10.46,46.90,32.30,32.90,42.30
NVDA,18.10/28,0.19,0.39,25.68,12.72,56.10,38.10,43.80,44.10
MSFT,24.09/30,12.12,38.71,35.34,11.12,34.60,18.20,50.40,81.80
MSFT,24.06/30,11.80,36.13,37.69,12.37,36.00,18.40,52.60,90.80
MSFT,24.03/31,11.55,34.07,36.27,12.35,37.50,19.00,54.60,91.30
MSFT,23.12/31,11.06,32.06,33.86,11.73,38.40,19.30,55.60,97.50
MSFT,23.09/30,10.33,29.71,30.43,10.63,38.30,19.20,55.20,102.00
MSFT,23.06/30,9.68,27.70,34.99,12.28,38.20,19.10,55.00,99.80
MSFT,23.03/31,9.24,26.16,31.09,11.02,38.50,18.80,55.10,95.20
MSFT,22.12/31,9.01,24.58,26.51,9.76,39.30,18.80,55.90,99.10
MSFT,22.09/30,9.29,23.28,24.89,10.01,42.10,19.80,59.60,107.30
MSFT,22.06/30,9.65,22.22,26.41,11.53,45.40,21.00,60.70,119.10
MSFT,22.03/31,9.58,21.74,31.90,14.19,47.00,21.40,62.50,111.50
MSFT,21.12/31,9.39,21.32,35.47,15.78,48.40,21.60,63.20,112.70
MSFT,21.09/30,8.94,20.23,31.21,13.94,48.60,21.20,62.40,120.70
MSFT,21.06/30,8.05,18.81,33.30,14.37,46.20,19.60,60.90,135.10
MSFT,21.03/31,7.34,17.84,31.75,13.22,44.20,18.40,57.50,129.60
MSFT,20.12/31,6.71,17.24,32.77,12.91,42.20,17.20,54.50,133.50
MSFT,20.09/30,6.19,16.31,33.51,12.90,40.70,16.20,51.70,143.90
MSFT,20.06/30,5.76,15.55,34.85,13.05,39.50,15.40,49.00,154.70
MSFT,20.03/31,5.99,15.06,25.93,10.48,42.70,16.30,48.40,149.30
MSFT,19.12/31,5.73,14.45,27.14,10.93,42.90,15.90,47.10,156.80
MSFT,19.09/30,5.30,13.89,25.83,10.01,41.60,15.10,44.40,163.00
MSFT,19.06/30,5.06,13.34,26.16,10.03,41.80,14.70,42.90,180.00
MSFT,19.03/31,4.50,12.37,25.91,9.54,39.30,13.50,41.80,177.50
MSFT,18.12/31,4.31,11.98,23.25,8.46,39.50,13.10,40.20,181.00
MSFT,18.09/30,2.41,11.20,46.60,10.20,23.10,7.40,39.50,199.70
AMZN,24.09/30,4.68,24.68,39.22,7.55,21.80,9.10,14.60,125.60
AMZN,24.06/30,4.19,22.63,45.28,8.51,21.20,8.50,13.70,134.60
AMZN,24.03/31,3.58,20.85,49.72,8.65,19.60,7.40,12.20,145.10
AMZN,23.12/31,2.90,19.59,51.61,7.78,17.20,6.20,10.20,161.50
AMZN,23.09/30,1.92,17.73,65.32,7.17,12.30,4.20,6.70,166.10
AMZN,23.06/30,1.26,16.39,102.32,7.93,8.60,2.90,4.40,183.30
AMZN,23.03/31,0.41,15.08,246.49,6.85,3.00,1.00,1.70,200.50
AMZN,22.12/31,-0.27,14.33,-314.82,5.87,-2.00,-0.60,-1.00,216.80
AMZN,22.09/30,1.09,13.49,101.67,8.37,8.40,2.70,3.50,211.60
AMZN,22.06/30,1.12,12.91,93.10,8.22,8.90,2.80,4.00,219.40
AMZN,22.03/31,2.08,13.18,77.47,12.38,16.90,5.40,7.60,206.50
AMZN,21.12/31,3.24,13.67,50.68,12.23,28.00,9.00,13.20,204.20
AMZN,21.09/30,2.56,11.90,63.35,13.80,24.30,7.60,12.10,217.20
AMZN,21.06/30,2.87,11.36,58.94,15.11,29.90,9.20,14.50,213.90
AMZN,21.03/31,2.63,10.25,57.91,15.08,30.50,9.10,15.10,212.70
AMZN,20.12/31,2.09,9.34,76.61,17.50,27.10,7.90,13.10,243.90
AMZN,20.09/30,1.71,8.26,90.76,19.05,24.50,7.00,12.30,240.90
AMZN,20.06/30,1.30,7.37,104.40,18.66,20.50,5.80,11.00,250.40
AMZN,20.03/31,1.05,6.55,91.90,14.87,17.80,5.00,9.60,238.90
AMZN,19.12/31,1.15,6.28,79.06,14.76,21.10,5.80,10.80,263.00
AMZN,19.09/30,1.13,5.71,75.67,15.20,22.50,6.20,11.70,252.30
AMZN,19.06/30,1.21,5.38,77.08,17.57,26.30,7.20,14.30,260.60
AMZN,19.03/31,1.20,4.93,72.86,18.07,28.90,7.80,16.60,267.90
AMZN,18.12/31,1.01,4.47,72.91,16.86,27.00,7.10,16.60,273.50
AMZN,18.09/30,0.89,4.01,109.73,24.97,26.70,6.70,15.40,267.30
GOOGL,24.09/30,7.54,25.52,21.66,6.50,31.70,22.80,36.80,37.00
GOOGL,24.06/30,6.97,24.34,25.68,7.49,30.50,21.60,34.70,37.90
GOOGL,24.03/31,6.52,23.55,22.77,6.41,29.50,20.70,33.60,39.10
GOOGL,23.12/31,5.80,22.64,23.69,6.17,27.20,19.00,30.90,42.00
GOOGL,23.09/30,5.22,21.67,24.73,6.04,25.20,17.60,28.80,45.20
GOOGL,23.06/30,4.73,21.04,24.93,5.69,23.50,16.50,27.30,43.40
GOOGL,23.03/31,4.50,20.37,22.68,5.09,22.80,16.20,26.10,41.60
GOOGL,22.12/31,4.56,19.79,19.04,4.46,23.50,16.70,26.30,42.60
GOOGL,22.09/30,5.03,19.44,18.63,4.92,26.40,18.70,28.80,41.30
GOOGL,22.06/30,5.37,19.39,19.93,5.62,28.60,20.30,31.40,39.10
GOOGL,22.03/31,5.52,19.21,24.66,7.24,30.20,21.30,33.10,40.60
GOOGL,21.12/31,5.61,18.96,25.29,7.64,31.60,22.20,34.90,42.80
GOOGL,21.09/30,5.19,18.34,25.24,7.29,30.20,21.20,33.90,42.00
GOOGL,21.06/30,4.61,17.72,26.00,6.89,27.90,19.60,31.00,41.20
GOOGL,21.03/31,3.75,17.06,27.07,6.05,23.50,16.80,26.60,42.20
GOOGL,20.12/31,2.93,16.45,29.44,5.33,19.00,13.80,21.70,43.60
GOOGL,20.09/30,2.59,15.65,27.91,4.68,17.30,12.70,18.80,40.50
GOOGL,20.06/30,2.27,15.19,30.70,4.67,15.60,11.60,17.20,34.30
GOOGL,20.03/31,2.48,14.82,23.13,3.92,17.40,12.90,19.40,34.20
GOOGL,19.12/31,2.46,14.60,26.90,4.59,17.80,13.20,20.20,37.00
GOOGL,19.09/30,2.33,14.06,25.96,4.34,17.40,13.10,20.90,34.90
GOOGL,19.06/30,2.48,13.84,21.64,3.91,19.20,14.50,23.00,33.80
GOOGL,19.03/31,1.99,13.20,29.23,4.46,16.20,12.30,19.80,33.70
GOOGL,18.12/31,2.19,12.77,23.64,4.09,18.30,14.10,22.20,31.10
GOOGL,18.09/30,1.33,12.21,44.74,4.94,11.60,9.00,21.60,30.40
META,24.09/30,21.21,65.06,26.08,8.80,35.60,23.70,34.20,55.80
META,24.06/30,19.57,61.86,24.87,8.16,34.20,22.90,34.20,46.90
META,24.03/31,17.39,58.75,27.06,8.28,31.60,20.90,32.00,49.00
META,23.12/31,14.87,59.51,23.27,5.94,28.20,18.70,29.10,49.90
META,23.09/30,11.34,55.46,25.98,5.41,22.60,15.00,23.40,51.40
META,23.06/30,8.59,52.19,32.62,5.49,17.70,11.90,18.50,54.20
META,23.03/31,8.07,48.24,25.62,4.40,17.10,11.90,18.80,47.80
META,22.12/31,8.59,46.79,13.75,2.54,18.60,13.30,21.10,47.70
META,22.09/30,10.48,46.27,12.65,2.94,23.20,17.00,27.20,44.20
META,22.06/30,12.06,46.51,12.98,3.47,26.50,20.10,32.00,35.00
META,22.03/31,13.21,45.22,16.21,4.91,28.70,22.30,35.30,33.30
META,21.12/31,13.77,44.36,23.77,7.49,29.70,23.50,37.20,32.90
META,21.09/30,14.00,47.39,23.74,7.18,30.20,24.30,37.90,27.20
META,21.06/30,13.49,48.78,25.31,7.13,30.10,24.40,37.20,23.40
META,21.03/31,11.68,46.95,24.86,6.28,27.50,22.20,34.30,22.30
META,20.12/31,10.09,45.00,26.70,6.07,25.20,20.00,31.60,24.20
META,20.09/30,8.78,41.31,29.52,6.34,23.30,18.10,29.90,24.40
META,20.06/30,8.19,38.75,27.51,5.86,22.90,17.60,31.40,26.50
META,20.03/31,7.30,36.94,22.69,4.52,21.50,16.30,31.60,31.40
META,19.12/31,6.43,35.41,31.67,5.79,20.00,15.30,30.10,32.00
META,19.09/30,6.25,32.94,28.20,5.41,20.40,16.10,31.40,32.40
META,19.06/30,5.89,31.09,32.29,6.21,20.10,16.40,32.50,31.80
META,19.03/31,6.72,30.29,24.33,5.50,23.70,20.10,37.40,26.50
META,18.12/31,7.57,29.11,17.04,4.48,27.50,24.00,45.20,15.70
META,18.09/30,6.63,27.85,24.35,5.91,25.00,21.90,46.00,15.10
TSLA,24.09/30,3.65,21.87,65.80,11.95,19.30,11.30,11.70,70.30
TSLA,24.06/30,3.56,20.83,50.94,9.49,20.10,11.70,11.60,68.60
TSLA,24.03/31,3.92,20.21,41.13,8.70,23.50,13.60,14.70,68.40
TSLA,23.12/31,4.30,19.73,52.67,12.61,27.90,15.90,18.70,68.70
TSLA,23.09/30,3.11,16.83,73.84,14.85,21.80,12.20,24.70,73.80
TSLA,23.06/30,3.53,16.12,68.04,16.bghvfntcdefxret423,26.50,14.60,31.60,75.10
TSLA,23.03/31,3.40,15.18,55.86,13.66,27.80,15.10,33.80,78.20
TSLA,22.12/31,3.62,14.28,30.98,8.70,32.40,17.20,39.90,81.50
TSLA,22.09/30,3.23,12.67,74.28,20.86,31.90,16.50,39.10,83.60
TSLA,22.06/30,2.76,11.69,73.32,19.18,29.80,15.00,34.40,84.80
TSLA,22.03/31,2.45,10.99,132.60,32.67,28.90,13.90,30.90,89.90
TSLA,21.12/31,1.63,10.20,192.30,35.16,21.00,9.70,21.00,101.20
TSLA,21.09/30,1.03,9.04,221.38,28.38,14.30,6.40,14.50,108.50
TSLA,21.06/30,0.64,8.52,300.22,26.40,10.10,4.20,10.40,116.50
TSLA,21.03/31,0.33,7.98,560.91,27.85,6.40,2.40,7.10,123.90
TSLA,20.12/31,0.21,7.94,927.75,30.10,5.00,1.70,5.80,127.90
TSLA,20.09/30,0.17,5.70,718.98,24.94,5.30,1.40,4.80,175.60
TSLA,20.06/30,0.14,3.54,543.93,20.31,4.60,1.00,3.80,271.50
TSLA,20.03/31,-0.05,3.34,-659.88,10.36,-2.10,-0.40,2.10,289.10
TSLA,19.12/31,-0.33,2.49,-87.47,11.39,-15.00,-2.70,-0.20,395.90
TSLA,19.09/30,-0.32,2.25,-52.17,7.14,-15.50,-2.70,-0.20,419.10
TSLA,19.06/30,-0.25,2.15,-58.91,6.79,-13.30,-2.20,0.40,432.60
TSLA,19.03/31,-0.38,1.78,-49.91,10.50,-21.60,-3.30,-0.80,496.70
TSLA,18.12/31,-0.38,1.92,-58.56,11.61,-21.90,-3.40,-0.90,475.90
TSLA,18.09/30,-0.71,1.76,-25.21,10.02,-41.90,-6.30,-4.10,519.20
AVGO,24.11/03,1.23,14.64,133.83,11.66,8.60,3.40,18.80,144.80
AVGO,24.08/04,1.16,14.08,131.40,10.20,8.90,3.40,20.00,155.80
AVGO,24.05/05,2.33,15.05,57.66,8.47,22.10,8.30,23.00,150.40
AVGO,24.02/04,2.70,15.55,49.27,8.16,33.60,11.80,28.70,153.10
AVGO,23.10/29,3.30,5.78,24.57,14.43,61.60,19.50,39.00,203.70
AVGO,23.07/30,3.25,5.35,26.77,16.82,61.60,19.20,38.30,224.30
AVGO,23.04/30,3.19,5.30,19.26,11.87,61.00,18.80,37.90,225.70
AVGO,23.01/29,2.97,5.58,19.60,10.60,57.40,17.40,36.10,213.10
AVGO,22.10/30,2.65,5.55,17.07,8.43,51.30,15.50,33.40,222.60
AVGO,22.07/31,2.31,5.16,22.01,10.36,43.80,13.50,30.10,241.50
AVGO,22.05/01,2.02,5.14,26.23,10.80,37.00,11.60,26.30,242.00
AVGO,22.01/30,1.76,5.58,30.71,10.07,31.30,10.00,23.10,218.70
AVGO,21.10/31,1.50,6.09,34.00,8.77,26.50,8.50,20.30,202.60
AVGO,21.08/01,1.35,5.92,34.50,8.18,24.00,7.60,17.70,211.60
AVGO,21.05/02,1.08,5.85,40.63,7.78,19.20,6.00,14.90,215.40
AVGO,21.01/31,0.86,5.89,50.12,7.64,15.30,4.70,12.10,221.00
AVGO,20.11/01,0.63,5.94,53.11,5.92,11.10,3.40,9.20,217.90
AVGO,20.08/02,0.53,5.85,57.10,5.41,9.20,2.90,8.60,236.50
AVGO,20.05/03,0.56,5.97,44.52,4.34,9.80,3.10,8.70,240.50
AVGO,20.02/02,0.61,6.12,47.89,4.98,10.90,3.50,9.60,232.30
AVGO,19.11/03,0.64,6.27,43.65,4.72,11.70,3.80,9.90,170.50
AVGO,19.08/04,0.72,5.40,37.06,5.16,12.80,4.60,12.00,224.50
AVGO,19.05/05,0.82,5.59,35.98,5.64,14.00,5.70,15.00,219.80
AVGO,19.02/03,1.49,5.79,16.72,4.68,23.80,11.40,17.80,210.50
AVGO,18.11/04,2.84,6.38,7.45,3.42,43.80,23.40,20.80,88.00
BRK.B,24.09/30,49.46,292.00,9.28,1.58,18.10,9.70,12.80,81.90
BRK.B,24.06/30,31.40,278.93,12.93,1.46,12.00,6.40,8.50,83.20
BRK.B,24.03/31,33.84,264.21,12.39,1.59,13.40,7.00,9.30,86.10
BRK.B,23.12/31,44.27,257.85,8.07,1.38,18.10,9.30,12.30,88.90
BRK.B,23.09/30,35.07,240.56,9.97,1.46,15.00,7.70,10.20,92.40
BRK.B,23.06/30,39.68,246.66,8.61,1.38,17.60,8.90,11.80,90.70
BRK.B,23.03/31,3.38,229.67,94.67,1.34,1.50,0.80,1.20,95.30
BRK.B,22.12/31,-10.33,214.80,-29.91,1.44,-4.80,-2.40,-2.90,98.60
BRK.B,22.09/30,-0.85,206.79,-559.54,1.29,-0.20,-0.10,N/A,96.30
BRK.B,22.06/30,5.01,208.89,49.86,1.31,2.50,1.30,1.80,95.40
BRK.B,22.03/31,37.12,230.68,9.28,1.53,17.10,8.90,12.00,89.10
BRK.B,21.12/31,39.70,226.22,7.44,1.32,19.00,9.80,13.30,87.70
BRK.B,21.09/30,37.02,208.80,7.18,1.31,18.80,9.60,13.00,93.10
BRK.B,21.06/30,45.09,205.75,6.01,1.35,23.80,12.10,16.20,92.20
BRK.B,21.03/31,43.64,194.16,5.67,1.32,24.50,12.30,16.90,95.60
BRK.B,20.12/31,17.78,189.40,12.76,1.22,10.50,5.20,7.60,95.30
BRK.B,20.09/30,15.02,173.84,14.19,1.23,8.90,4.50,6.70,98.90
BRK.B,20.06/30,9.11,161.89,19.52,1.10,5.60,2.80,4.60,99.30
BRK.B,20.03/31,3.97,152.37,44.54,1.20,2.50,1.30,2.20,103.70
BRK.B,19.12/31,33.22,173.78,6.80,1.30,20.70,10.50,14.90,91.60
BRK.B,19.09/30,11.01,161.94,19.01,1.29,7.20,3.60,5.30,97.30
BRK.B,19.06/30,11.78,155.90,18.11,1.37,7.80,3.90,5.70,97.70
BRK.B,19.03/31,10.91,149.90,18.43,1.34,7.40,3.70,5.50,99.30
BRK.B,18.12/31,1.63,141.69,124.97,1.44,1.10,0.60,1.20,101.90
BRK.B,18.09/30,25.13,152.16,8.56,1.41,17.30,8.70,7.10,95.10
WMT,24.10/31,2.43,10.96,33.48,7.48,23.30,7.70,15.70,191.90
WMT,24.07/31,1.92,10.50,35.50,6.54,18.90,6.10,12.90,194.10
WMT,24.04/30,2.33,10.10,25.25,5.88,23.40,7.40,15.40,204.20
WMT,24.01/31,1.91,10.38,28.68,5.31,19.70,6.10,13.20,193.20
WMT,23.10/31,2.00,9.84,27.00,5.54,21.20,6.50,14.50,218.50
WMT,23.07/31,1.72,9.85,30.66,5.41,18.70,5.70,13.40,213.40
WMT,23.04/30,1.38,8.96,36.02,5.62,15.10,4.60,11.20,229.00
WMT,23.01/31,1.42,9.39,33.22,5.06,15.40,4.70,11.30,207.90
WMT,22.10/31,1.08,8.88,43.08,5.35,11.60,3.60,8.50,231.90
WMT,22.07/31,1.67,9.45,26.10,4.67,17.30,5.60,11.80,208.30
WMT,22.04/30,1.55,9.31,32.39,5.48,16.10,5.30,11.40,208.80
WMT,22.01/31,1.62,9.94,28.36,4.66,16.90,5.70,12.10,183.70
WMT,21.10/31,0.96,9.85,51.95,5.06,10.00,3.30,8.90,187.30
WMT,21.07/31,1.19,9.59,39.75,4.96,12.50,4.10,10.40,188.00
WMT,21.04/30,1.44,9.28,32.17,5.03,15.50,5.00,11.90,194.00
WMT,21.01/31,1.58,9.53,29.42,4.91,17.70,5.60,12.60,203.80
WMT,20.10/31,2.31,9.58,19.92,4.83,26.40,8.20,15.70,200.60
WMT,20.07/31,2.09,8.86,20.48,4.87,24.70,7.60,14.20,207.40
WMT,20.04/30,1.75,8.04,22.91,5.05,21.10,6.40,12.00,232.70
WMT,20.01/31,1.73,8.73,21.83,4.35,20.90,6.30,11.80,207.50
WMT,19.10/31,1.66,8.40,23.12,4.66,20.40,6.20,12.30,225.40
WMT,19.07/31,1.47,8.22,24.52,4.48,18.20,5.60,11.70,224.30
WMT,19.04/30,0.96,7.92,35.23,4.33,11.80,3.80,9.50,234.10
WMT,19.01/31,0.75,8.25,41.74,3.84,9.20,3.10,8.60,192.60
WMT,18.10/31,0.58,8.21,56.94,4.08,7.00,2.50,6.90,204.30
LLY,24.09/30,9.25,15.81,100.60,59.13,65.20,12.20,17.70,430.40
LLY,24.06/30,8.12,15.05,117.20,63.45,60.70,11.40,17.50,429.40
LLY,24.03/31,6.79,14.22,120.42,57.69,53.50,10.20,16.00,398.40
LLY,23.12/31,5.80,11.97,105.60,51.37,47.40,9.10,15.20,493.30
LLY,23.09/30,5.52,12.47,102.22,45.44,45.20,9.30,15.30,415.40
LLY,23.06/30,7.19,12.30,68.52,40.24,60.50,12.70,19.20,394.70
LLY,23.03/31,6.29,12.42,57.39,29.16,56.20,11.50,17.30,374.10
LLY,22.12/31,6.90,11.81,55.66,32.64,64.70,13.10,19.50,363.50
LLY,22.09/30,6.65,11.18,50.93,30.51,65.40,12.70,18.70,370.40
LLY,22.06/30,6.26,9.49,54.13,36.05,65.80,11.90,17.60,449.50
LLY,22.03/31,6.74,10.33,44.50,29.23,75.40,12.80,19.00,401.40
LLY,21.12/31,6.12,9.90,47.34,29.43,74.20,11.70,17.40,441.60
LLY,21.09/30,6.56,8.56,37.01,28.49,89.30,12.60,19.10,518.70
LLY,21.06/30,6.67,7.10,36.26,34.16,102.00,13.10,19.90,638.50
LLY,21.03/31,6.69,7.59,29.39,25.96,113.60,13.60,20.30,576.00
LLY,20.12/31,6.79,6.22,26.08,28.63,140.40,14.30,21.40,723.30
LLY,20.09/30,6.13,5.32,25.41,29.33,152.60,13.40,19.90,806.90
LLY,20.06/30,6.17,4.51,27.95,38.37,170.70,14.00,20.30,921.00
LLY,20.03/31,6.06,3.39,23.98,43.09,186.80,14.10,20.10,"1,231.20"
LLY,19.12/31,8.89,2.80,15.17,48.41,295.80,21.60,29.30,"1,403.50"
LLY,19.09/30,8.22,3.70,13.58,31.92,172.10,20.10,26.40,"1,017.90"
LLY,19.06/30,7.97,3.02,13.71,38.68,111.40,19.00,26.70,"1,287.90"
LLY,19.03/31,6.28,2.53,21.48,54.17,67.70,14.80,22.60,"1,428.90"
LLY,18.12/31,3.13,9.56,37.93,12.47,26.40,7.40,12.40,335.70
LLY,18.09/30,0.47,12.82,256.05,8.81,3.50,1.00,10.50,233.00
JPM,24.09/30,17.98,120.90,11.52,1.74,15.40,1.30,1.60,"1,117.40"
JPM,24.06/30,17.94,117.85,11.12,1.71,15.80,1.30,1.60,"1,116.60"
JPM,24.03/31,16.57,115.75,11.89,1.71,15.00,1.20,1.50,"1,115.20"
JPM,23.12/31,16.23,111.58,10.30,1.50,15.20,1.20,1.50,"1,082.00"
JPM,23.09/30,16.76,108.41,8.52,1.33,16.20,1.30,1.60,"1,128.30"
JPM,23.06/30,15.55,106.16,9.23,1.36,15.40,1.20,1.50,"1,137.80"
JPM,23.03/31,13.56,102.10,9.53,1.27,13.80,1.10,1.40,"1,135.40"
JPM,22.12/31,12.09,98.57,10.96,1.35,12.50,0.90,1.20,"1,154.00"
JPM,22.09/30,11.85,97.26,8.70,1.06,12.20,0.90,1.20,"1,210.30"
JPM,22.06/30,12.47,96.60,8.89,1.16,12.90,1.00,1.30,"1,242.40"
JPM,22.03/31,13.49,96.04,9.94,1.41,14.00,1.10,1.40,"1,283.20"
JPM,21.12/31,15.36,97.35,10.06,1.59,16.20,1.30,1.60,"1,172.80"
JPM,21.09/30,15.81,96.68,10.13,1.69,17.00,1.30,1.70,"1,195.50"
JPM,21.06/30,14.99,94.31,10.22,1.64,16.50,1.30,1.70,"1,186.50"
JPM,21.03/31,12.59,91.33,11.96,1.66,14.20,1.10,1.40,"1,214.30"
JPM,20.12/31,8.88,90.63,14.13,1.39,10.20,0.80,1.00,"1,111.60"
JPM,20.09/30,7.65,88.09,12.33,1.08,9.00,0.80,0.90,"1,097.30"
JPM,20.06/30,7.41,85.97,12.25,1.08,8.90,0.80,0.90,"1,114.90"
JPM,20.03/31,8.85,84.39,9.77,1.06,10.80,1.00,1.10,"1,101.60"
JPM,19.12/31,10.72,81.12,12.62,1.67,13.20,1.30,1.50,928.30
JPM,19.09/30,10.15,82.65,11.34,1.42,12.70,1.20,1.40,945.80
JPM,19.06/30,9.81,80.97,11.15,1.38,12.50,1.20,1.40,936.20
JPM,19.03/31,9.28,78.79,10.62,1.28,12.10,1.20,1.40,953.40
JPM,18.12/31,9.00,75.53,10.57,1.27,11.90,1.20,1.40,922.40
JPM,18.09/30,8.09,76.70,13.62,1.47,10.80,1.10,1.50,909.90
V,24.09/30,9.73,21.00,26.49,13.37,49.60,21.40,84.30,141.50
V,24.06/30,9.34,20.83,27.61,13.28,48.20,20.90,83.40,129.20
V,24.03/31,8.94,20.10,30.62,13.91,46.60,20.20,82.30,128.20
V,23.12/31,8.68,19.68,29.20,13.22,46.10,20.10,82.90,130.10
V,23.09/30,8.28,18.84,27.21,12.13,45.10,19.60,80.50,133.60
V,23.06/30,7.88,19.01,29.52,12.52,44.10,19.10,76.60,128.90
V,23.03/31,7.48,18.71,29.45,12.06,43.10,18.40,69.80,125.00
V,22.12/31,7.15,17.87,28.28,11.62,42.20,18.00,68.60,131.30
V,22.09/30,7.00,17.02,24.62,10.35,41.80,17.90,69.90,140.30
V,22.06/30,6.78,17.06,28.11,11.57,40.20,17.60,67.70,140.70
V,22.03/31,6.36,17.20,33.80,12.93,37.30,16.70,71.60,127.30
V,21.12/31,6.04,17.18,34.76,12.63,35.20,16.00,67.10,126.40
V,21.09/30,5.63,17.65,38.48,12.60,32.70,15.10,60.50,120.50
V,21.06/30,4.95,17.74,45.90,13.20,29.10,13.40,54.90,118.80
V,21.03/31,4.84,17.65,42.44,12.01,29.00,13.40,50.60,112.70
V,20.12/31,4.84,17.65,43.53,12.39,29.80,13.70,54.40,113.50
V,20.09/30,4.89,16.93,39.16,11.75,30.70,14.20,59.70,123.50
V,20.06/30,5.26,16.66,34.99,11.58,33.60,15.80,65.90,119.20
V,20.03/31,5.56,16.13,27.73,10.01,35.80,17.20,69.90,110.60
V,19.12/31,5.49,16.36,32.73,11.48,35.60,17.20,66.80,112.00
V,19.09/30,5.32,15.86,30.92,10.77,35.00,17.00,64.00,109.20
V,19.06/30,5.21,16.06,31.85,10.83,34.70,16.90,65.00,100.70
V,19.03/31,4.84,15.63,30.81,10.00,32.80,16.00,63.10,103.80
